"fact_id","weather_key","county_key","air_key","ypll","fair_poor_health","physically_unhealthy","mentally_unhealthy","smokers","obese","drinking","unemployed","uninsured"
4875,303477,59453,26773,"10296.2",NULL,"6.90","7.50","29.80","34.50","12.70","8.10","14.10"
4876,303478,59454,26774,"9891.5","30.30","6.80","7.00","28.20","39.70","14.70","8.50","15.30"
4877,303479,59455,26775,"8994","27.80","7.00","6.60","25.20","39.70","11.50","8.40","15.00"
4878,303480,59456,26776,"8994","27.90","7.10","6.10","26.30","37.20","13.30","7.57","14.67"
4879,303481,59457,26777,"9705.4","27.90","7.10","6.10","26.30","36.30","13.30","7.88","14.06"
4880,303482,59458,26778,"9427.2","18.30","4.30","4.50","20.90","38.90","15.20","6.53","13.43"
4881,303483,59459,26779,"9593.7","21.10","4.41","4.30","22.03","38.80","14.54","5.79","10.34"
4882,303484,59460,26780,"10363.2","18.57","4.06","4.49","23.11","37.60","16.38","6.45","7.97"
4883,303485,59461,26781,"11908.3","18.57","4.06","4.49","23.11","38.50","16.38","5.84","7.01"
4884,303486,59462,26782,"11962.8","23.96","4.96","4.82","21.23","39.90","15.66","5.64","6.97"
4885,303487,67503,26783,"11569.1","22.68","5.14","5.45","27.09","40.50","15.32","5.18","7.65"
4886,303604,7050,26806,"6933.5","14.52","2.70","2.69","25.88","30.10","15.46","6.10","11.90"
4887,303605,59463,26807,"6868.4","13.20","2.90","2.90","24.40","30.20","16.80","9.30","14.30"
4888,303606,59464,26808,"7132.1","14.40","3.50","3.30","24.20","32.30","19.20","9.50","12.90"
4889,303607,59465,26809,"6982.8","13.30","3.30","3.60","22.80","32.30","19.70","8.00","13.90"
4890,303608,59466,26810,"6982.8","14.70","3.60","3.60","23.00","30.40","20.10","6.51","12.83"
4891,303609,59467,26811,"6736.5","14.70","3.60","3.60","23.00","30.90","20.10","6.87","12.63"
4892,303610,59468,26812,"6846.3","13.80","3.40","3.90","18.20","29.30","18.40","5.12","11.85"
4893,303611,59469,26813,"6794.4","14.86","3.58","3.90","17.76","31.40","18.33","4.39","8.61"
4894,303612,59470,26814,"7053.5","15.92","3.61","3.91","20.93","32.10","18.16","4.30","7.26"
4895,303613,59471,26815,"7116.9","15.92","3.61","3.91","20.93","31.80","18.16","4.18","5.93"
4896,303614,59472,26816,"6839.8","16.08","4.12","4.50","18.72","32.10","19.97","3.95","6.91"
4897,303615,67504,26817,"7202.7","16.69","3.87","4.74","20.93","33.00","18.88","3.71","7.11"
4898,303860,7072,26859,"6782.1","17.05","3.55","3.27","23.73","29.00","15.45","7.00","12.20"
4899,303861,59483,26860,"6670.5","15.60","3.30","3.20","23.40","31.00","18.20","10.10","12.30"
4900,303862,59484,26861,"6540.7","15.50","3.20","3.00","22.30","32.10","18.30","9.70","13.60"
